Precision	Recall	PR_thres
0.8158624514697727	0.6332328885062419	0.128
0.816815144766147	0.631510977184675	0.129
0.8198097369893677	0.6306500215238915	0.13
0.8201236649803261	0.6280671545415412	0.131
0.8200789622109419	0.6259147653895825	0.132
0.821368004522329	0.6254842875591907	0.133
0.8215297450424929	0.6241928540680155	0.134
0.8231949971574758	0.623331898407232	0.135
0.8237307472903593	0.6216099870856651	0.136
0.8264604810996563	0.6211795092552733	0.137
0.8278641335636154	0.6190271201033147	0.138
0.8293811451706189	0.6173052087817478	0.139
0.8304297328687572	0.6155832974601808	0.14
0.8321678321678322	0.6147223417993973	0.141
0.8332358104154476	0.6130004304778304	0.142
0.8352941176470589	0.6112785191562634	0.143
0.836094674556213	0.6082651743435213	0.144
0.8360071301247772	0.6056823073611709	0.145
0.8369175627240143	0.6030994403788205	0.146
