Precision	Recall	PR_thres
0.8501253132832081	0.6483180428134556	0.128
0.850453172205438	0.6456422018348624	0.129
0.8520770010131712	0.6429663608562691	0.13
0.8527171152869477	0.6418195718654435	0.131
0.8537206931702345	0.6402905198776758	0.132
0.8537832310838446	0.6383792048929664	0.133
0.8545826932923707	0.6379969418960245	0.134
0.8552361396303901	0.6368501529051988	0.135
0.8571428571428571	0.6353211009174312	0.136
0.8581780538302277	0.6337920489296636	0.137
0.8587746625129803	0.632262996941896	0.138
0.8586278586278586	0.6314984709480123	0.139
0.8606471816283925	0.6303516819571865	0.14
0.8608058608058609	0.628822629969419	0.141
0.8611111111111112	0.6280581039755352	0.142
0.861198738170347	0.6261467889908257	0.143
0.8621236133122029	0.6238532110091743	0.144
0.861904761904762	0.6227064220183486	0.145
0.861995753715499	0.6207951070336392	0.146
