FPR	TPR	ROC_thres
0.015066724063710719	0.3805424020662936	0.337
0.015066724063710719	0.38140335772707706	0.336
0.015066724063710719	0.38398622470942745	0.334
0.015497201894102454	0.38398622470942745	0.333
0.015497201894102454	0.3857081360309944	0.332
0.015497201894102454	0.3865690916917779	0.331
0.015927679724494187	0.38786052518295305	0.33
0.016358157554885924	0.38872148084373653	0.329
0.016358157554885924	0.39087386999569523	0.328
0.016358157554885924	0.3917348256564787	0.327
0.016358157554885924	0.3930262591476539	0.326
0.016358157554885924	0.39388721480843736	0.324
0.016788635385277657	0.39474817046922084	0.322
0.017649591046061126	0.3956091261300043	0.32
0.017649591046061126	0.39603960396039606	0.319
0.018080068876452863	0.39776151528196296	0.318
0.018080068876452863	0.39862247094274644	0.317
0.018080068876452863	0.3994834266035299	0.315
0.018080068876452863	0.4003443822643134	0.314
0.018510546706844596	0.4003443822643134	0.313
0.018941024537236333	0.40077486009470514	0.312
0.018941024537236333	0.40163581575548857	0.311
0.018941024537236333	0.4020662935858803	0.31
0.018941024537236333	0.40335772707705553	0.309
0.018941024537236333	0.40378820490744727	0.308
0.018941024537236333	0.4050796383986225	0.307
0.018941024537236333	0.4068015497201894	0.306
0.018941024537236333	0.4080929832113646	0.305
0.019801980198019802	0.4089539388721481	0.304
0.019801980198019802	0.4098148945329316	0.303
0.020232458028411535	0.4102453723633233	0.302
0.020662935858803272	0.4102453723633233	0.301
0.021093413689195005	0.4115368058544985	0.3
0.02152389151958674	0.41325871717606544	0.299
0.02152389151958674	0.4141196728368489	0.298
0.02152389151958674	0.4158415841584158	0.297
0.02152389151958674	0.4175634954799828	0.295
0.02152389151958674	0.41842445114076626	0.293
0.02238484718037021	0.4197158846319415	0.292
0.02238484718037021	0.42100731812311665	0.291
0.02238484718037021	0.42315970727507535	0.29
0.02238484718037021	0.4235901851054671	0.289
0.022815325010761944	0.42488161859664225	0.288
0.022815325010761944	0.425312096427034	0.287
0.02324580284115368	0.42617305208781747	0.286
0.02324580284115368	0.4287559190701679	0.282
0.02410675850193715	0.4300473525613431	0.281
0.024537236332328884	0.43090830822212656	0.28
0.02496771416272062	0.4326302195436935	0.279
0.026259147653895823	0.43306069737408526	0.278
0.02668962548428756	0.4339216530348687	0.277
0.02668962548428756	0.43478260869565216	0.275
0.027120103314679293	0.43564356435643564	0.274
0.027120103314679293	0.4360740421868274	0.273
0.027981058975462762	0.43693499784761086	0.272
0.027981058975462762	0.43951786482996125	0.271
0.027981058975462762	0.4403788204907447	0.27
0.027981058975462762	0.4429616874730951	0.269
0.028842014636246232	0.44554455445544555	0.268
0.0297029702970297	0.4459750322858373	0.267
0.03056392595781317	0.44683598794662077	0.266
0.03142488161859664	0.44726646577701246	0.265
0.03142488161859664	0.44812742143779594	0.264
0.03142488161859664	0.44941885492897116	0.263
0.031855359448988374	0.45200172191132154	0.262
0.031855359448988374	0.4524321997417133	0.26
0.031855359448988374	0.4550150667240637	0.259
0.032285837279380114	0.4575979337064141	0.258
0.03314679294016358	0.4584588893671976	0.257
0.03357727077055531	0.46018080068876455	0.256
0.03400774860094705	0.4606112785191563	0.255
0.03529918209212225	0.46104175634954797	0.254
0.03572965992251399	0.4614722341799397	0.253
0.03702109341368919	0.46190271201033145	0.252
0.03745157124408093	0.4644855789926819	0.251
0.037882049074472665	0.4644855789926819	0.249
0.0383125269048644	0.4662074903142488	0.248
0.04003443822643134	0.46879035729659924	0.245
0.04046491605682307	0.47008179078777446	0.244
0.04175634954799828	0.4735256134309083	0.243
0.04218682737839001	0.4748170469220835	0.242
0.04218682737839001	0.47567800258286697	0.241
0.04304778303917348	0.4773999139044339	0.24
0.04390873869995695	0.47869134739560915	0.239
0.04390873869995695	0.4799827808867843	0.238
0.04433921653034869	0.48127421437795953	0.237
0.04476969436074042	0.48342660352991823	0.236
0.04563065002152389	0.48428755919070166	0.235
0.04563065002152389	0.4860094705122686	0.234
0.04606112785191563	0.48730090400344384	0.233
0.046922083512699095	0.4881618596642273	0.232
0.04735256134309083	0.48902281532501074	0.231
0.04735256134309083	0.4894532931554025	0.23
0.04735256134309083	0.4916056823073612	0.229
0.04907447266465777	0.4928971157985364	0.228
0.04907447266465777	0.4946190271201033	0.227
0.04950495049504951	0.4954799827808868	0.226
0.04950495049504951	0.4959104606112785	0.225
0.050365906155832973	0.49806284976323717	0.224
0.05079638398622471	0.49978476108480413	0.223
0.05165733964700818	0.5006457167455876	0.222
0.05337925096857512	0.5010761945759793	0.221
0.054240206629358585	0.501506672406371	0.22
0.05553164012053379	0.503228583727938	0.219
0.056823073611709	0.5036590615583297	0.218
0.05725355144210073	0.504950495049505	0.217
0.05725355144210073	0.5053809728798967	0.216
0.057684029272492464	0.5071028842014637	0.215
0.057684029272492464	0.5075333620318554	0.214
0.05854498493327594	0.5083943176926389	0.213
